image_id,source,expected_target,expected_crop,expected_part,expected_class,expected_behavior,notes,original_source
demo_145,staged_external:docs/demo_assets/m2_full_image_set/images/demo_145_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_145_apricot_fruit.jpg
demo_146,staged_external:docs/demo_assets/m2_full_image_set/images/demo_146_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_146_apricot_fruit.jpg
demo_174,staged_external:docs/demo_assets/m2_full_image_set/images/demo_174_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şeftali_karalekesi_meyve_232,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_174_apricot_fruit.jpg
demo_029,staged_external:docs/demo_assets/m2_full_image_set/images/demo_029_apricot_leaf.jpg,apricot__leaf,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; exclude_ambiguous; router-only conservative review: deferred as ambiguous or outside current priority slice,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_029_apricot_leaf.jpg
demo_030,staged_external:docs/demo_assets/m2_full_image_set/images/demo_030_apricot_leaf.jpg,apricot__leaf,apricot,leaf,kayısı_şarka_virüsü_yaprak_206,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; exclude_ambiguous; router-only conservative review: deferred as ambiguous or outside current priority slice,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_030_apricot_leaf.jpg
demo_285,staged_external:docs/demo_assets/m2_full_image_set/images/demo_285_grape_leaf.jpg,grape__leaf,grape,leaf,üzüm_yelpaze_virüsü_yaprak,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; exclude_ambiguous; router-only conservative review: deferred as ambiguous or outside current priority slice,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_285_grape_leaf.jpg
demo_305,staged_external:docs/demo_assets/m2_full_image_set/images/demo_305_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_gray_mold_fruit,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_305_strawberry_fruit.jpg
demo_308,staged_external:docs/demo_assets/m2_full_image_set/images/demo_308_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_308_strawberry_fruit.jpg
demo_311,staged_external:docs/demo_assets/m2_full_image_set/images/demo_311_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_powdery_mildew_fruit,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_311_strawberry_fruit.jpg
demo_334,staged_external:docs/demo_assets/m2_full_image_set/images/demo_334_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_healthy_fruit,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_334_strawberry_fruit.jpg
demo_056,staged_external:docs/demo_assets/m2_full_image_set/images/demo_056_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_056_tomato_fruit.jpg
demo_057,staged_external:docs/demo_assets/m2_full_image_set/images/demo_057_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_057_tomato_fruit.jpg
demo_373,staged_external:docs/demo_assets/m2_full_image_set/images/demo_373_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_blossom_end_rot_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_373_tomato_fruit.jpg
demo_383,staged_external:docs/demo_assets/m2_full_image_set/images/demo_383_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_gray_mold_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_383_tomato_fruit.jpg
demo_388,staged_external:docs/demo_assets/m2_full_image_set/images/demo_388_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_gray_mold_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_388_tomato_fruit.jpg
demo_396,staged_external:docs/demo_assets/m2_full_image_set/images/demo_396_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_396_tomato_fruit.jpg
demo_400,staged_external:docs/demo_assets/m2_full_image_set/images/demo_400_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_spotted_wilt_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_400_tomato_fruit.jpg
demo_405,staged_external:docs/demo_assets/m2_full_image_set/images/demo_405_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_spotted_wilt_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_405_tomato_fruit.jpg
demo_412,staged_external:docs/demo_assets/m2_full_image_set/images/demo_412_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_gray_mold_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_412_tomato_fruit.jpg
demo_007,staged_external:docs/demo_assets/m2_full_image_set/images/demo_007_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_bacterial_spot_and_speck_yaprak,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_007_tomato_leaf.jpg
demo_064,staged_external:docs/demo_assets/m2_full_image_set/images/demo_064_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_064_tomato_leaf.jpg
demo_065,staged_external:docs/demo_assets/m2_full_image_set/images/demo_065_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_065_tomato_leaf.png
demo_429,staged_external:docs/demo_assets/m2_full_image_set/images/demo_429_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_late_blight_yaprak,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_429_tomato_leaf.png
demo_430,staged_external:docs/demo_assets/m2_full_image_set/images/demo_430_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_late_blight_yaprak,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_430_tomato_leaf.png
demo_432,staged_external:docs/demo_assets/m2_full_image_set/images/demo_432_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_late_blight_yaprak,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_432_tomato_leaf.png
demo_440,staged_external:docs/demo_assets/m2_full_image_set/images/demo_440_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_leaf_mold_yaprak,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_440_tomato_leaf.jpg
demo_461,staged_external:docs/demo_assets/m2_full_image_set/images/demo_461_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_powdery_mildew_yaprak,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_461_tomato_leaf.jpg
demo_462,staged_external:docs/demo_assets/m2_full_image_set/images/demo_462_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_powdery_mildew_yaprak,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_462_tomato_leaf.jpg
demo_058,staged_external:docs/demo_assets/m2_full_image_set/images/demo_058_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; exclude_ambiguous; router-only conservative review: deferred as ambiguous or outside current priority slice,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_058_tomato_fruit.jpg
demo_366,staged_external:docs/demo_assets/m2_full_image_set/images/demo_366_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_bacterial_spot_and_speck_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; exclude_ambiguous; router-only conservative review: deferred as ambiguous or outside current priority slice,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_366_tomato_fruit.jpg
demo_395,staged_external:docs/demo_assets/m2_full_image_set/images/demo_395_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; exclude_ambiguous; router-only conservative review: deferred as ambiguous or outside current priority slice,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_395_tomato_fruit.jpg
demo_398,staged_external:docs/demo_assets/m2_full_image_set/images/demo_398_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; exclude_ambiguous; router-only conservative review: deferred as ambiguous or outside current priority slice,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_398_tomato_fruit.jpg
demo_399,staged_external:docs/demo_assets/m2_full_image_set/images/demo_399_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_late_blight_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; exclude_ambiguous; router-only conservative review: deferred as ambiguous or outside current priority slice,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_399_tomato_fruit.jpg
demo_409,staged_external:docs/demo_assets/m2_full_image_set/images/demo_409_tomato_fruit.jpg,tomato__fruit,tomato,fruit,domates_spotted_wilt_meyve,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; exclude_ambiguous; router-only conservative review: deferred as ambiguous or outside current priority slice,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_409_tomato_fruit.jpg
demo_509,staged_external:docs/demo_assets/m2_full_image_set/images/demo_509_tomato_leaf.jpg,tomato__leaf,tomato,leaf,domates_spotted_wilt_yaprak,router/prototype hard example; disease answer or review expected,prototype_evidence_weak; exclude_ambiguous; router-only conservative review: deferred as ambiguous or outside current priority slice,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_509_tomato_leaf.jpg
demo_147,staged_external:docs/demo_assets/m2_full_image_set/images/demo_147_apricot_fruit.jpg,apricot__fruit,apricot,fruit,kayısıda_şarka_virüsü_meyve_230,router/prototype hard example; disease answer or review expected,prototype_policy_not_calibrated; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_147_apricot_fruit.jpg
demo_436,staged_external:docs/demo_assets/m2_full_image_set/images/demo_436_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_late_blight_yaprak,router/prototype hard example; disease answer or review expected,prototype_policy_not_calibrated; add_prototype_positive; same-target router/prototype failure in priority target; add as curated positive for target/class coverage,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_436_tomato_leaf.png
demo_097,staged_external:docs/demo_assets/m2_full_image_set/images/demo_097_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_botrytis_cinerea_meyve,router/prototype hard example; disease answer or review expected,part_conflict; add_prototype_positive; fruit part-conflict row with same-target prototype evidence; add as clean fruit positive,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_097_grape_fruit.jpg
demo_236,staged_external:docs/demo_assets/m2_full_image_set/images/demo_236_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_mildiyö_meyve,router/prototype hard example; disease answer or review expected,part_conflict; add_prototype_positive; fruit part-conflict row with same-target prototype evidence; add as clean fruit positive,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_236_grape_fruit.jpg
demo_237,staged_external:docs/demo_assets/m2_full_image_set/images/demo_237_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_antraknoz_meyve,router/prototype hard example; disease answer or review expected,part_conflict; add_prototype_positive; fruit part-conflict row with same-target prototype evidence; add as clean fruit positive,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_237_grape_fruit.jpg
demo_243,staged_external:docs/demo_assets/m2_full_image_set/images/demo_243_grape_fruit.jpg,grape__fruit,grape,fruit,üzüm_mildiyö_meyve,router/prototype hard example; disease answer or review expected,part_conflict; add_prototype_positive; fruit part-conflict row with same-target prototype evidence; add as clean fruit positive,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_243_grape_fruit.jpg
demo_307,staged_external:docs/demo_assets/m2_full_image_set/images/demo_307_strawberry_fruit.jpg,strawberry__fruit,strawberry,fruit,strawberry_gray_mold_fruit,router/prototype hard example; disease answer or review expected,part_conflict; add_prototype_positive; fruit part-conflict row with same-target prototype evidence; add as clean fruit positive,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_307_strawberry_fruit.jpg
demo_129,staged_external:docs/demo_assets/m2_full_image_set/images/demo_129_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,router/prototype hard example; disease answer or review expected,part_conflict; exclude_ambiguous; router-only conservative review: deferred as ambiguous or outside current priority slice,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_129_tomato_leaf.png
demo_067,staged_external:docs/demo_assets/m2_full_image_set/images/demo_067_tomato_leaf.png,tomato__leaf,tomato,leaf,domates_early_blight_yaprak,router/prototype hard example; disease answer or review expected,negative_prototype_too_close; exclude_ambiguous; router-only conservative review: deferred as ambiguous or outside current priority slice,/content/bitirmeprojesi/docs/demo_assets/m2_full_image_set/images/demo_067_tomato_leaf.png
