path,owner_surface,file_class,status,checks,evidence_pointer,notes
.coveragerc,tests/ci/meta,meta,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
.env.example,tests/ci/meta,other,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
.github/ISSUE_TEMPLATE.md,tests/ci/meta,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
.github/PULL_REQUEST_TEMPLATE.md,tests/ci/meta,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
.github/workflows/ci.yml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
.gitignore,tests/ci/meta,meta,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
.pre-commit-config.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
AGENTS.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|legacy_token_guard_non_archive|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|markdown_links,
LICENSE,tests/ci/meta,meta,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
PLAN.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|legacy_token_guard_non_archive|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|markdown_links,
README.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|legacy_token_guard_non_archive|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|markdown_links,
SECURITY.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
colab_notebooks/1_crop_router_pipeline.ipynb,docs/notebooks/scripts,notebook,pass,archive_reference_guard|legacy_token_guard_non_archive|notebook_structure|notebook_import_validation|suite_colab_smoke,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|notebook_structure|notebook_import_validation|suite_colab_smoke,
colab_notebooks/2_interactive_adapter_training.ipynb,docs/notebooks/scripts,notebook,pass,archive_reference_guard|legacy_token_guard_non_archive|notebook_structure|notebook_import_validation|suite_colab_smoke,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|notebook_structure|notebook_import_validation|suite_colab_smoke,
colab_notebooks/README.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|legacy_token_guard_non_archive|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|markdown_links,
colab_notebooks/requirements_colab.txt,docs/notebooks/scripts,documentation,pass,archive_reference_guard|legacy_token_guard_non_archive,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive,
config/.gitattributes,core/config,meta,pass,archive_reference_guard|legacy_token_guard_non_archive,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive,
config/.gitignore,core/config,meta,pass,archive_reference_guard|legacy_token_guard_non_archive,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive,
config/base.json,core/config,configuration,pass,archive_reference_guard|legacy_token_guard_non_archive|config_parse|suite_unit_validation,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|config_parse|suite_unit_validation,
config/colab.json,core/config,configuration,pass,archive_reference_guard|legacy_token_guard_non_archive|config_parse|suite_unit_validation,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|config_parse|suite_unit_validation,
config/perf_guardrails_phase5.json,core/config,configuration,pass,archive_reference_guard|legacy_token_guard_non_archive|config_parse|suite_unit_validation,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|config_parse|suite_unit_validation,
config/plant_taxonomy.json,core/config,configuration,pass,archive_reference_guard|legacy_token_guard_non_archive|config_parse|suite_unit_validation,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|config_parse|suite_unit_validation,
config/pytest.ini,core/config,configuration,pass,archive_reference_guard|legacy_token_guard_non_archive,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive,
docs/README.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|legacy_token_guard_non_archive|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|markdown_links,
docs/REPO_FILE_RELATIONS.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|legacy_token_guard_non_archive|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|markdown_links,
docs/REPO_FILE_RELATIONS_DETAILED.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|legacy_token_guard_non_archive|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|markdown_links,
docs/architecture/overview.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|legacy_token_guard_non_archive|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|markdown_links,
docs/development/development-setup.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|legacy_token_guard_non_archive|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|markdown_links,
docs/guides/SEAMLESS_AUTOTRAIN_GUIDE.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|legacy_token_guard_non_archive|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|markdown_links,
docs/reports/v6/V6_FULL_REPO_AUDIT.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|legacy_token_guard_non_archive|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|markdown_links,
docs/user_guide/colab_training_manual.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|legacy_token_guard_non_archive|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|markdown_links,
important.txt,tests/ci/meta,documentation,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
plan-aadsV6ArchitectureEvaluation.prompt.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
plans/README.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
plans/v6_repo_audit_command_results.json,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
plans/v6_repo_audit_coverage.csv,tests/ci/meta,other,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
plans/v6_repo_audit_manifest.json,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
pytest.ini,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
requirements.txt,tests/ci/meta,documentation,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
requirements_colab.txt,tests/ci/meta,documentation,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
scripts/README.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|legacy_token_guard_non_archive|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|markdown_links,
scripts/audit_v6_repo.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/benchmark_router_phase5.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/check_markdown_links.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/check_phase5_perf_regression.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/colab_auto_orchestrator.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/colab_interactive_vlm_test.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/colab_quick_setup.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/colab_repo_bootstrap.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/colab_setup_dependencies.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/colab_test_gpu_vlm.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/colab_test_upload.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/colab_vlm_quick_test.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/debug_sam3_bioclip_pipeline.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/download_data_colab.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/evaluate_dataset_layout.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/generate_repo_relationships.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/install_colab.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/profile_policy_sanity.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/run_policy_regression_bundle.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/run_python_sanity_bundle.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/run_test_suites.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/test_bioclip_github.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/test_dynamic_taxonomy.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/test_pipeline_final_check.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/test_sam3_raw.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/test_vlm_pipeline_standalone.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
scripts/validate_notebook_imports.py,docs/notebooks/scripts,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|python_sanity_bundle,
setup.py,tests/ci/meta,python,pass,archive_reference_guard|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|py_compile_batch|python_sanity_bundle,
setup_git.sh,tests/ci/meta,shell,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
sitecustomize.py,tests/ci/meta,python,pass,archive_reference_guard|py_compile_batch|python_sanity_bundle,plans/v6_repo_audit_command_results.json::archive_reference_guard|py_compile_batch|python_sanity_bundle,
skills/aads-architect/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-architect/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-architect/references/architecture-checklist.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-bug-evidence-auditor/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-bug-evidence-auditor/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-bug-evidence-auditor/references/evidence-protocol.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-coder/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-coder/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-coder/references/coding-playbook.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-colab-doc-sync/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-colab-doc-sync/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-colab-doc-sync/references/colab-doc-sync-checklist.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-config-pipeline-guardrails/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-config-pipeline-guardrails/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-config-pipeline-guardrails/references/config-pipeline-checklist.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-orchestrator/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-orchestrator/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-orchestrator/references/orchestration-matrix.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-router-ood-guardrails/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-router-ood-guardrails/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-router-ood-guardrails/references/router-guardrails.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-status-triage/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-status-triage/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-status-triage/references/status-checklist.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-training-lifecycle/SKILL.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
skills/aads-training-lifecycle/agents/openai.yaml,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
skills/aads-training-lifecycle/references/training-invariants.md,docs/notebooks/scripts,documentation,pass,archive_reference_guard|markdown_links,plans/v6_repo_audit_command_results.json::archive_reference_guard|markdown_links,
specs/adapter-spec.json,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
specs/pipeline-spec.json,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
specs/router-spec.json,tests/ci/meta,configuration,pass,archive_reference_guard,plans/v6_repo_audit_command_results.json::archive_reference_guard,
src/__init__.py,tests/ci/meta,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/adapter/__init__.py,adapter,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/adapter/independent_crop_adapter.py,adapter,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/adapter/multi_scale_fusion.py,adapter,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
src/core/__init__.py,core/config,python,pass,archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,plans/v6_repo_audit_command_results.json::archive_reference_guard|legacy_token_guard_non_archive|py_compile_batch|suite_unit_colab_integration,
